"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 14, 2022","155.95","159.55","160.55","155.30","12.84M","-2.26%"
"Jun 13, 2022","159.55","162.00","163.95","158.45","12.24M","-3.10%"
"Jun 10, 2022","164.65","164.00","166.65","163.35","17.81M","-0.54%"
"Jun 09, 2022","165.55","166.00","167.35","164.50","31.12M","1.32%"
"Jun 08, 2022","163.40","163.50","166.40","162.10","45.99M","0.96%"
"Jun 07, 2022","161.85","154.80","162.95","154.20","61.41M","5.13%"
"Jun 06, 2022","153.95","153.10","156.00","152.80","30.33M","1.55%"
"Jun 03, 2022","151.60","153.95","154.20","151.15","16.75M","-0.56%"
"Jun 02, 2022","152.45","147.80","152.90","146.00","25.43M","1.80%"
"Jun 01, 2022","149.75","151.20","152.90","148.75","22.78M","-0.99%"
"May 31, 2022","151.25","145.40","153.00","145.40","57.68M","5.00%"
"May 30, 2022","144.05","145.65","147.30","141.15","40.26M","0.17%"
"May 27, 2022","143.80","155.00","155.50","141.10","52.47M","-5.33%"
"May 26, 2022","151.90","152.80","153.30","148.10","12.82M","-0.46%"
"May 25, 2022","152.60","152.90","153.25","147.60","19.37M","1.29%"
"May 24, 2022","150.65","157.40","157.75","150.15","19.14M","-2.87%"
"May 23, 2022","155.10","161.75","164.20","154.65","18.03M","-4.20%"
"May 20, 2022","161.90","161.65","163.80","160.10","7.24M","1.19%"
"May 19, 2022","160.00","158.55","162.05","157.80","8.93M","-1.96%"
"May 18, 2022","163.20","162.00","164.50","160.20","12.62M","0.03%"
"May 17, 2022","163.15","156.00","163.70","155.55","17.84M","6.29%"
"May 16, 2022","153.50","154.20","156.25","151.80","13.21M","-0.03%"
"May 13, 2022","153.55","160.00","160.30","152.95","12.93M","-1.88%"
"May 12, 2022","156.50","159.00","161.00","154.00","21.46M","-1.32%"
"May 11, 2022","158.60","154.00","160.00","153.75","15.08M","2.69%"
"May 10, 2022","154.45","160.45","161.65","152.90","22.60M","-6.25%"
"May 09, 2022","164.75","165.25","167.30","162.75","9.95M","-1.32%"
"May 06, 2022","166.95","163.90","167.40","161.10","16.77M","1.27%"
"May 05, 2022","164.85","164.20","168.40","163.40","26.88M","1.60%"
"May 04, 2022","162.25","159.00","162.80","157.95","23.66M","3.77%"
"May 02, 2022","156.35","158.15","159.25","155.90","23.41M","-2.56%"
"Apr 29, 2022","160.45","166.50","167.45","159.50","15.96M","-2.64%"
"Apr 28, 2022","164.80","166.00","166.00","162.45","13.03M","-0.03%"
"Apr 27, 2022","164.85","167.95","168.90","163.35","13.98M","-1.26%"
"Apr 26, 2022","166.95","171.10","171.70","165.70","20.09M","-1.59%"
"Apr 25, 2022","169.65","172.30","172.95","168.35","12.58M","-2.50%"
"Apr 22, 2022","174.00","174.15","176.30","173.70","10.27M","-0.09%"
"Apr 21, 2022","174.15","175.70","176.70","173.90","12.25M","-0.77%"
"Apr 20, 2022","175.50","176.90","177.35","174.80","10.08M","-0.93%"
"Apr 19, 2022","177.15","177.30","179.80","176.00","17.88M","0.77%"
